run_accession;fastq_ftp
SRR1518758;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518758/SRR1518758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518758/SRR1518758_2.fastq.gz"
SRR1518759;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518759/SRR1518759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518759/SRR1518759_2.fastq.gz"
SRR1518760;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518760/SRR1518760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518760/SRR1518760_2.fastq.gz"
SRR1518761;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518761/SRR1518761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518761/SRR1518761_2.fastq.gz"
SRR1518762;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518762/SRR1518762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518762/SRR1518762_2.fastq.gz"
SRR1518763;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518763/SRR1518763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518763/SRR1518763_2.fastq.gz"
SRR1518764;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518764/SRR1518764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518764/SRR1518764_2.fastq.gz"
SRR1518765;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518765/SRR1518765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518765/SRR1518765_2.fastq.gz"
SRR1518766;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518766/SRR1518766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518766/SRR1518766_2.fastq.gz"
SRR1518767;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518767/SRR1518767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518767/SRR1518767_2.fastq.gz"
SRR1518768;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518768/SRR1518768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518768/SRR1518768_2.fastq.gz"
SRR1518769;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518769/SRR1518769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518769/SRR1518769_2.fastq.gz"
SRR1518770;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518770/SRR1518770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518770/SRR1518770_2.fastq.gz"
SRR1518771;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518771/SRR1518771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518771/SRR1518771_2.fastq.gz"
SRR1518772;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518772/SRR1518772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518772/SRR1518772_2.fastq.gz"
SRR1518773;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518773/SRR1518773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518773/SRR1518773_2.fastq.gz"
SRR1518774;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518774/SRR1518774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518774/SRR1518774_2.fastq.gz"
SRR1518775;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518775/SRR1518775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518775/SRR1518775_2.fastq.gz"
SRR1518776;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518776/SRR1518776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518776/SRR1518776_2.fastq.gz"
SRR1518777;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518777/SRR1518777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518777/SRR1518777_2.fastq.gz"
SRR1518778;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518778/SRR1518778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518778/SRR1518778_2.fastq.gz"
SRR1518779;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518779/SRR1518779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518779/SRR1518779_2.fastq.gz"
SRR1518780;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518780/SRR1518780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518780/SRR1518780_2.fastq.gz"
SRR1518781;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518781/SRR1518781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518781/SRR1518781_2.fastq.gz"
SRR1518782;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518782/SRR1518782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518782/SRR1518782_2.fastq.gz"
SRR1518783;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518783/SRR1518783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518783/SRR1518783_2.fastq.gz"
SRR1518784;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518784/SRR1518784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518784/SRR1518784_2.fastq.gz"
SRR1518785;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518785/SRR1518785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518785/SRR1518785_2.fastq.gz"
